sub_id,ses_id
sub-A00035437,ses-BAS1
sub-A00035440,ses-BAS1
sub-A00035504,ses-BAS1
sub-A00035535,ses-BAS1
sub-A00035553,ses-BAS1
sub-A00035561,ses-BAS1
sub-A00035561,ses-FLU1
sub-A00035561,ses-FLU2
sub-A00035562,ses-BAS1
sub-A00035606,ses-BAS1
sub-A00035608,ses-BAS1
sub-A00035625,ses-BAS1
sub-A00035633,ses-BAS1
sub-A00035699,ses-BAS1
sub-A00035744,ses-BAS1
sub-A00035765,ses-BAS1
sub-A00035798,ses-BAS1
sub-A00035827,ses-BAS1
sub-A00035827,ses-BAS2
sub-A00035840,ses-BAS1
sub-A00035840,ses-BAS2
sub-A00035869,ses-BAS1
sub-A00035879,ses-BAS1
sub-A00035881,ses-BAS1
sub-A00035926,ses-BAS1
sub-A00035940,ses-BAS1
sub-A00035940,ses-FLU1
sub-A00035941,ses-BAS1
sub-A00035943,ses-BAS1
sub-A00035945,ses-BAS1
sub-A00035945,ses-FLU1
sub-A00035945,ses-TRT
sub-A00035951,ses-BAS1
sub-A00035960,ses-BAS1
sub-A00037081,ses-BAS1
sub-A00037110,ses-BAS1
sub-A00037111,ses-BAS1
sub-A00037112,ses-BAS1
sub-A00037112,ses-BAS2
sub-A00037115,ses-BAS1
sub-A00037117,ses-BAS1
sub-A00037118,ses-BAS1
sub-A00037120,ses-BAS1
sub-A00037122,ses-BAS1
sub-A00037123,ses-BAS1
sub-A00037125,ses-BAS1
sub-A00037126,ses-BAS1
sub-A00037126,ses-BAS2
sub-A00037126,ses-TRT
sub-A00037160,ses-BAS1
sub-A00037170,ses-BAS1
sub-A00037198,ses-BAS1
sub-A00037229,ses-BAS2
sub-A00037229,ses-FLU1
sub-A00037244,ses-BAS1
sub-A00037266,ses-BAS1
sub-A00037267,ses-BAS1
sub-A00037267,ses-BAS2
sub-A00037267,ses-FLU1
sub-A00037267,ses-FLU2
sub-A00037368,ses-BAS1
sub-A00037377,ses-BAS1
sub-A00037378,ses-BAS1
sub-A00037386,ses-BAS1
sub-A00037387,ses-BAS1
sub-A00037396,ses-BAS1
sub-A00037421,ses-BAS1
sub-A00037439,ses-BAS1
sub-A00037445,ses-BAS1
sub-A00037457,ses-BAS1
sub-A00037457,ses-BAS2
sub-A00037457,ses-FLU1
sub-A00037458,ses-BAS1
sub-A00037459,ses-BAS1
sub-A00037476,ses-BAS1
sub-A00037483,ses-BAS1
sub-A00037492,ses-BAS1
sub-A00037510,ses-BAS1
sub-A00037511,ses-BAS1
sub-A00037511,ses-BAS2
sub-A00037522,ses-BAS1
sub-A00037522,ses-BAS2
sub-A00037522,ses-FLU1
sub-A00037531,ses-BAS1
sub-A00037545,ses-BAS1
sub-A00037582,ses-BAS1
sub-A00037588,ses-BAS1
sub-A00037589,ses-BAS1
